step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
250,1228392,1000,0.04417628732493096,0.0,0.7606382978723404,,,
251,1230764,1004,0.034619539443306604,0.0,0.8732394366197183,,,
252,1238480,1008,0.014012855639767107,0.5,0.9577464788732394,,,
253,1241108,1012,0.0281639257702746,0.0,0.9390243902439024,,,
254,1248856,1016,0.019547090829523297,0.0,0.4583333333333333,,,
255,1256668,1020,0.0290170223272767,0.0,0.85,,,
256,1258688,1024,0.02964871775742162,0.0,0.9280575539568345,,,
257,1262628,1028,0.0191503028671649,0.25,0.8958333333333334,0.030021704922788713,0.0,0.7631578947368421
258,1267240,1032,0.019320724384846444,0.0,0.8636363636363636,,,
259,1269964,1036,0.03825600698968885,0.0,0.8571428571428571,,,
260,1272720,1040,0.024453265827974777,0.25,0.9367088607594937,,,
261,1280436,1044,0.022215871277606637,0.0,0.8980891719745223,,,
262,1283992,1048,0.018890732340705707,0.5,0.8918918918918919,,,
263,1286044,1052,0.028154427540479754,0.25,0.9186046511627907,,,
264,1290656,1056,0.019604203189925357,0.25,0.9396551724137931,,,
265,1296132,1060,0.029739130246357402,0.0,0.8727272727272727,0.018658463359428234,0.25,0.9621621621621622
266,1298920,1064,0.023362239689994277,0.0,0.9166666666666666,,,
267,1304332,1068,0.019825139581197027,0.0,0.625,,,
268,1312112,1072,0.01795264971928249,0.0,0.8571428571428571,,,
269,1320308,1076,0.021080377723672855,0.0,0.9494163424124513,,,
270,1326424,1080,0.012929421131614174,0.0,0.9195402298850575,,,
271,1331196,1084,0.019594396353736575,0.5,0.8333333333333334,,,
272,1335840,1088,0.0229330098468689,0.0,0.8979591836734694,,,
273,1337828,1092,0.03224150586582512,0.0,0.875,0.03651823083149314,0.0,0.7948717948717948
274,1341640,1096,0.024107534007255637,0.0,0.9731543624161074,,,
275,1346956,1100,0.018666296874822578,0.0,0.8518518518518519,,,
276,1354864,1104,0.02320542328715005,0.25,0.8782608695652174,,,
277,1362644,1108,0.01356231818015849,0.0,0.9024390243902439,,,
278,1366488,1112,0.027057820568597336,0.0,0.7222222222222222,,,
279,1370780,1116,0.0272787397138637,0.0,0.8690476190476191,,,
280,1374368,1120,0.02431517708069205,0.0,0.9259259259259259,,,
281,1382148,1124,0.013355915235636078,0.0,0.864406779661017,0.018769684716735385,0.0,0.95
282,1386088,1128,0.021664263154740494,0.25,0.8974358974358975,,,
283,1391564,1132,0.028960032644667767,0.0,0.8421052631578947,,,
284,1399760,1136,0.02164420142192098,0.25,0.9438596491228071,,,
285,1404276,1140,0.026569751353016313,0.0,0.7045454545454546,,,
286,1409720,1144,0.018207128556395568,0.0,0.9272727272727272,,,
287,1415932,1148,0.02179128094436575,0.0,0.8181818181818182,,,
288,1422432,1152,0.020769791480846723,0.0,0.7948717948717948,,,
289,1425188,1156,0.05295158399609197,0.0,0.8269230769230769,0.025475057911446792,0.0,0.9157894736842105
290,1427784,1160,0.06404883104756745,0.0,0.8385093167701864,,,
291,1433164,1164,0.01715788312189134,0.0,0.8732394366197183,,,
292,1438128,1168,0.019895902461623392,0.0,0.8571428571428571,,,
293,1446292,1172,0.01703102705855704,0.25,0.9555555555555556,,,
294,1452312,1176,0.014017054272216554,0.75,0.9722222222222222,,,
295,1460092,1180,0.01596839607975853,0.5,0.8636363636363636,,,
296,1464864,1184,0.025769912719617524,0.25,0.8947368421052632,,,
297,1469284,1188,0.01719833277633314,0.25,0.9534883720930233,0.02213279611095384,0.5,0.9432624113475178
298,1473928,1192,0.027367478627986004,0.25,0.6938775510204082,,,
299,1476172,1196,0.03709153804712476,0.0,0.8860759493670886,,,
300,1482960,1200,0.015525846732692864,0.0,0.9047619047619048,,,
301,1486324,1204,0.023217836738863816,0.0,0.8947368421052632,,,
302,1494040,1208,0.014915396841390908,0.0,0.5882352941176471,,,
303,1499228,1212,0.01796850093116135,0.5,0.9130434782608695,,,
304,1505344,1216,0.027477927297332054,0.0,0.9384615384615385,,,
305,1509476,1220,0.029900381276623127,0.0,0.8297872340425532,0.024689434780582064,0.0,0.7808219178082192
306,1513672,1224,0.019514746627409506,0.25,0.9333333333333333,,,
307,1519916,1228,0.018121657962642444,0.0,0.9148936170212766,,,
308,1521552,1232,0.03391191628004162,0.25,0.6666666666666666,,,
309,1524724,1236,0.04094155451547651,0.0,0.9385964912280702,,,
310,1532056,1240,0.015750315624077978,0.5,0.8709677419354839,,,
311,1534236,1244,0.043390095958223206,0.25,0.8645833333333334,,,
312,1537952,1248,0.024926252117716104,0.0,0.8780487804878049,,,
313,1541092,1252,0.03196543208843801,0.25,0.7659574468085106,0.03261508132911204,0.0,0.8285714285714286
314,1543656,1256,0.0332792889059287,0.0,0.8055555555555556,,,
315,1549196,1260,0.015314880034895475,0.0,0.7941176470588235,,,
316,1556912,1264,0.009385783993559785,0.75,0.96,,,
317,1561428,1268,0.021129707358744466,0.0,0.875,,,
318,1563800,1272,0.027247170885598835,0.0,0.7941176470588235,,,
319,1566396,1276,0.03390410484779232,0.0,0.7906976744186046,,,
320,1568608,1280,0.03453501985350496,0.0,0.8873239436619719,,,
321,1570980,1284,0.03388698197141349,0.25,0.9387755102040817,0.020757852760711362,0.0,0.7291666666666666
322,1574024,1288,0.03817128028517206,0.0,0.7619047619047619,,,
323,1575436,1292,0.040264874273429736,0.0,0.7878787878787878,,,
324,1581712,1296,0.010649700102584769,0.75,0.9333333333333333,,,
325,1585364,1300,0.016445326321759966,0.25,0.9047619047619048,,,
326,1590360,1304,0.014804582752114407,0.5,0.8421052631578947,,,
327,1593340,1308,0.03143850762675109,0.0,0.9444444444444444,,,
328,1597280,1312,0.029832973181920484,0.0,0.8333333333333334,,,
329,1602884,1316,0.02024331633200557,0.25,0.9396551724137931,0.028450537135199704,0.0,0.8902439024390244
330,1605800,1320,0.024965561828457945,0.25,0.8867924528301887,,,
331,1608204,1324,0.027744980423190947,0.0,0.9183673469387755,,,
332,1614000,1328,0.015840770573257657,0.0,0.8705882352941177,,,
333,1621716,1332,0.017325371375724295,0.0,0.7894736842105263,,,
334,1624952,1336,0.03309207759673997,0.0,0.813953488372093,,,
335,1628828,1340,0.020708864452120987,0.0,0.9461538461538461,,,
336,1631104,1344,0.02553381972070412,0.5,0.9090909090909091,,,
337,1638820,1348,0.013467931536692722,0.0,0.5789473684210527,0.025742163368855764,0.0,0.8026315789473685
338,1644712,1352,0.022854605863799813,0.25,0.9047619047619048,,,
339,1646476,1356,0.018659781937017297,0.75,0.9743589743589743,,,
340,1654224,1360,0.021258415905811786,0.0,0.7058823529411765,,,
341,1658100,1364,0.013074626355344302,0.75,0.9130434782608695,,,
342,1665592,1368,0.019637805974670713,0.0,0.7894736842105263,,,
343,1671196,1372,0.023918571280304328,0.0,0.8405797101449275,,,
344,1673536,1376,0.027673140421880574,0.25,0.8860759493670886,,,
345,1681380,1380,0.020881490017854706,0.0,0.8247422680412371,0.029148156516273466,0.0,0.9538461538461539
346,1684264,1384,0.03734389136164072,0.0,0.8727272727272727,,,
347,1688556,1388,0.017273504087223963,0.0,0.7272727272727273,,,
348,1692176,1392,0.0248907908547556,0.0,0.9365079365079365,,,
349,1696500,1396,0.025062530092702047,0.0,0.8859649122807017,,,
350,1698904,1400,0.024682881084711217,0.0,0.76,,,
351,1701436,1404,0.0404138108246886,0.0,0.8382352941176471,,,
352,1707168,1408,0.0325126086356385,0.0,0.8616352201257862,,,
353,1711300,1412,0.033137378549808645,0.25,0.9084507042253521,0.019394805309554782,0.25,0.8
354,1715688,1416,0.01942337664509689,0.5,0.8461538461538461,,,
355,1723756,1420,0.025335376834359043,0.0,0.8862559241706162,,,
356,1726000,1424,0.03388872364125437,0.0,0.8461538461538461,,,
357,1731988,1428,0.017496678872179035,0.0,0.7333333333333333,,,
358,1736120,1432,0.020026852807327217,0.0,0.8333333333333334,,,
359,1743932,1436,0.020146581677912657,0.0,0.8591549295774648,,,
360,1748384,1440,0.019796322985754348,0.0,0.8923076923076924,,,
361,1756260,1444,0.0159311193773625,0.25,0.9230769230769231,0.0153747478422172,0.0,0.9401197604790419
362,1763080,1448,0.0187783311895179,0.0,0.8222222222222222,,,
363,1766220,1452,0.03406404476589671,0.5,0.8688524590163934,,,
364,1774320,1456,0.020435137083559263,0.0,0.9363057324840764,,,
365,1776916,1460,0.021543965918424418,0.5,0.9090909090909091,,,
366,1784408,1464,0.016222896066982535,0.0,0.952,,,
367,1788924,1468,0.025446816289212217,0.0,0.9375,,,
368,1796672,1472,0.018637625966917058,0.0,0.6785714285714286,,,
369,1801028,1476,0.01569234907396043,0.25,0.8378378378378378,0.019797032649933648,0.5,0.8909090909090909
370,1808872,1480,0.020246006466607833,0.25,0.9324324324324325,,,
371,1813676,1484,0.02065515744399917,0.25,0.9624060150375939,,,
372,1818768,1488,0.025783154257526454,0.25,0.8877551020408163,,,
373,1821492,1492,0.06645916782201665,0.25,0.5102040816326531,,,
374,1826136,1496,0.02328245593799699,0.0,0.9212598425196851,,,
375,1828892,1500,0.02559486229304758,0.25,0.8767123287671232,,,
376,1834464,1504,0.013217794982842783,0.25,0.9459459459459459,,,
377,1836676,1508,0.029473535546769233,0.25,0.927536231884058,0.021881394395755007,0.0,0.9389312977099237
378,1841256,1512,0.02331523028653349,0.0,0.5476190476190477,,,
379,1845932,1516,0.021901353237116672,0.0,0.9052631578947369,,,
380,1853680,1520,0.021517942050807214,0.0,0.84375,,,
381,1859956,1524,0.02798202527304963,0.0,0.8469387755102041,,,
382,1862648,1528,0.030240108124287145,0.0,0.863013698630137,,,
383,1868476,1532,0.01855066526822769,0.25,0.9146341463414634,,,
384,1875904,1536,0.020294997185374693,0.0,0.9139784946236559,,,
385,1883716,1540,0.013371876548094968,0.25,0.847457627118644,0.02992979636101133,0.25,0.8888888888888888
386,1891432,1544,0.0181409738622258,0.0,0.8865248226950354,,,
387,1894828,1548,0.028102472118480763,0.0,0.9102564102564102,,,
388,1898832,1552,0.025275336152891525,0.0,0.8166666666666667,,,
389,1903892,1556,0.015866847191068456,0.25,0.9508196721311475,,,
390,1909816,1560,0.01695505838196295,0.0,0.6944444444444444,,,
391,1914204,1564,0.025601432571439334,0.0,0.9117647058823529,,,
