step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
254,1232728,1016,0.0343911042985889,0.0,0.7762237762237763,,,
255,1240092,1020,0.019114477390600192,0.0,0.85,,,
256,1242176,1024,0.03745302918314294,0.25,0.9065420560747663,,,
257,1244804,1028,0.02409966494871853,0.25,0.9523809523809523,0.017295627294462476,0.25,0.926829268292683
258,1252360,1032,0.017585549869267452,0.0,0.8809523809523809,,,
259,1254668,1036,0.033469750794005555,0.0,0.8333333333333334,,,
260,1262384,1040,0.013727327959864413,0.25,0.875,,,
261,1266548,1044,0.02044219563519114,0.25,0.927536231884058,,,
262,1272664,1048,0.018425002473261114,0.0,0.8285714285714286,,,
263,1278908,1052,0.017590759388281765,0.0,0.96,,,
264,1282912,1056,0.024128361141944787,0.0,0.8297872340425532,,,
265,1286884,1060,0.025940307948305666,0.0,0.925531914893617,0.032096836121514684,0.0,0.9176470588235294
266,1289992,1064,0.021819807953670597,0.0,0.9178082191780822,,,
267,1295276,1068,0.013224129948661992,0.0,0.875,,,
268,1298000,1072,0.026737418979670795,0.25,0.7037037037037037,,,
269,1306068,1076,0.017500430995271436,0.0,0.9294117647058824,,,
270,1313880,1080,0.01663766064395447,0.25,0.9238095238095239,,,
271,1317148,1084,0.024258885147849834,0.25,0.8125,,,
272,1320864,1088,0.03223566462844858,0.0,0.8142857142857143,,,
273,1323364,1092,0.03147109903901738,0.0,0.9102564102564102,0.025722848382621663,0.0,0.6818181818181818
274,1328680,1096,0.015516224806830743,0.25,0.8928571428571429,,,
275,1331468,1100,0.05077374717574826,0.0,0.7681159420289855,,,
276,1339184,1104,0.020783511859449263,0.0,0.8899082568807339,,,
277,1347124,1108,0.022898735525667277,0.0,0.9180327868852459,,,
278,1351064,1112,0.025323548311673633,0.0,0.8932038834951457,,,
279,1358780,1116,0.013720136535911484,0.25,0.9361702127659575,,,
280,1360384,1120,0.042151461497031945,0.0,0.78,,,
281,1362948,1124,0.031798173822249344,0.0,0.8285714285714286,0.015667480063489666,0.25,0.8863636363636364
282,1370280,1128,0.010778810785305853,0.25,0.8823529411764706,,,
283,1375852,1132,0.019664230802118755,0.0,0.9219858156028369,,,
284,1379088,1136,0.028373248374531593,0.25,0.851063829787234,,,
285,1382484,1140,0.027503858205873654,0.0,0.8823529411764706,,,
286,1390360,1144,0.025445965043735332,0.0,0.8116883116883117,,,
287,1396252,1148,0.014240448128054431,0.25,0.9253731343283582,,,
288,1403840,1152,0.013488058297455406,0.25,0.8863636363636364,,,
289,1407492,1156,0.01914947308899205,0.25,0.7647058823529411,0.016095967851732403,0.0,0.8333333333333334
290,1414280,1160,0.023928978332091445,0.0,0.6904761904761905,,,
291,1419180,1164,0.022223267156195783,0.0,0.8461538461538461,,,
292,1425904,1168,0.02453499196213094,0.25,0.8,,,
293,1433876,1172,0.028713295857599096,0.25,0.7697841726618705,,,
294,1440504,1176,0.013201129836091246,0.25,0.9615384615384616,,,
295,1443452,1180,0.02860393686906892,0.0,0.9222222222222223,,,
296,1450784,1184,0.015350007311875023,0.0,0.8,,,
297,1455428,1188,0.024411534487864865,0.25,0.84,0.024956462637254963,0.0,0.9125
298,1460040,1192,0.025833310730576018,0.0,0.9439252336448598,,,
299,1462924,1196,0.02143069959877053,0.25,0.8064516129032258,,,
300,1465264,1200,0.0325003281655865,0.0,0.9213483146067416,,,
301,1472980,1204,0.021778495527080013,0.0,0.8924731182795699,,,
302,1480408,1208,0.019893355426058554,0.0,0.8405797101449275,,,
303,1488188,1212,0.019910465715931882,0.0,0.8902439024390244,,,
304,1493824,1216,0.017907000590168323,0.0,0.696969696969697,,,
305,1499172,1220,0.02332547722667529,0.25,0.7777777777777778,0.017872177207829663,0.5,0.8787878787878788
306,1505704,1224,0.019016309119747946,0.0,0.8970588235294118,,,
307,1509228,1228,0.022968710124430785,0.25,0.8615384615384616,,,
308,1516976,1232,0.022215268662018478,0.0,0.7631578947368421,,,
309,1524724,1236,0.01988496677621366,0.25,0.955719557195572,,,
310,1532440,1240,0.020014158602637402,0.0,0.8461538461538461,,,
311,1540380,1244,0.02322665441149383,0.25,0.8865979381443299,,,
312,1544064,1248,0.024118623364172153,0.0,0.7419354838709677,,,
313,1551332,1252,0.02217798703392409,0.25,0.7848101265822784,0.030878732156109864,0.0,0.6956521739130435
314,1556328,1256,0.02217633078936659,0.25,0.9032258064516129,,,
315,1558540,1260,0.027732291215643724,0.25,0.7368421052631579,,,
316,1566256,1264,0.017522488804524502,0.0,0.8431372549019608,,,
317,1570708,1268,0.016746427660072803,0.25,0.9180327868852459,,,
318,1573816,1272,0.037472260159847635,0.25,0.84375,,,
319,1581788,1276,0.013345044405818952,0.0,0.9197080291970803,,,
320,1589952,1280,0.020770640357254528,0.0,0.9441340782122905,,,
321,1595716,1284,0.019030698307090022,0.0,0.64,0.013453042899274112,0.0,0.896551724137931
322,1598504,1288,0.027242227139691072,0.25,0.9264705882352942,,,
323,1606220,1292,0.014978608038896758,0.25,0.72,,,
324,1614064,1296,0.022816292736527282,0.0,0.8372093023255814,,,
325,1616436,1300,0.02750249293609662,0.25,0.7560975609756098,,,
326,1620312,1304,0.022934474676822435,0.25,0.9425287356321839,,,
327,1623196,1308,0.03358614206403186,0.0,0.7619047619047619,,,
328,1628416,1312,0.016385343802199512,0.0,0.9560439560439561,,,
329,1631044,1316,0.03305937665028193,0.25,0.7446808510638298,0.0266431454422016,0.25,0.8857142857142857
330,1632424,1320,0.04110318603949672,0.5,0.9210526315789473,,,
331,1639052,1324,0.025504959015562174,0.25,0.90625,,,
332,1646832,1328,0.025678387545957273,0.0,0.75,,,
333,1650996,1332,0.019786420464455015,0.0,0.78125,,,
334,1656664,1336,0.021073407273302494,0.25,0.9019607843137255,,,
335,1663804,1340,0.022774207190244734,0.0,0.8531468531468531,,,
336,1667360,1344,0.02180008827589144,0.25,0.8888888888888888,,,
337,1671300,1348,0.03309480540484084,0.0,0.875,0.014010345287529941,0.25,0.9411764705882353
338,1677128,1352,0.016022340170098816,0.25,0.9069767441860465,,,
339,1681484,1356,0.02716082840018203,0.0,0.9010989010989011,,,
340,1689200,1360,0.024212647219047784,0.25,0.9518518518518518,,,
341,1693140,1364,0.021220389476184518,0.0,0.8048780487804879,,,
342,1696632,1368,0.03062992072998512,0.25,0.9192546583850931,,,
343,1704444,1372,0.021377356843317166,0.0,0.7027027027027027,,,
344,1707616,1376,0.024689806323029057,0.25,0.8928571428571429,,,
345,1713028,1380,0.018510442103615046,0.0,0.9224806201550387,0.019697847312656572,0.0,0.9666666666666667
346,1715880,1384,0.026673417999770598,0.25,0.8431372549019608,,,
347,1720812,1388,0.020920020895731452,0.0,0.8666666666666667,,,
348,1725808,1392,0.02509992778574373,0.0,0.8837209302325582,,,
349,1733204,1396,0.01406249632203329,0.0,0.8275862068965517,,,
350,1740504,1400,0.022862066064434285,0.0,0.927536231884058,,,
351,1743228,1404,0.034308976959053626,0.0,0.7755102040816326,,,
352,1750464,1408,0.020340716904712217,0.0,0.8780487804878049,,,
353,1758276,1412,0.01447127641651249,0.0,0.9306930693069307,0.01736371957445146,0.25,0.9327731092436975
354,1763368,1416,0.014156356130463153,0.0,0.9305555555555556,,,
355,1766956,1420,0.032596732687036285,0.0,0.9142857142857143,,,
356,1770000,1424,0.02635100368592039,0.0,0.965,,,
357,1771348,1428,0.042850524964304366,0.0,0.859375,,,
358,1774296,1432,0.027763699889381366,0.25,0.9204545454545454,,,
359,1779036,1436,0.016700719975853658,0.0,0.8536585365853658,,,
360,1786976,1440,0.017511418805843237,0.0,0.9454545454545454,,,
361,1792516,1444,0.019756352195177695,0.5,0.9745762711864406,0.02979166220591963,0.0,0.9289940828402367
362,1800232,1448,0.013479940183871237,0.0,0.9016393442622951,,,
363,1802892,1452,0.050531373823847224,0.0,0.6911764705882353,,,
364,1809232,1456,0.028991242419614437,0.0,0.9260700389105059,,,
365,1812372,1460,0.025123136703105498,0.0,0.7857142857142857,,,
366,1815960,1464,0.019115520580930263,0.25,0.9056603773584906,,,
367,1819836,1468,0.0417161038722435,0.5,0.6181818181818182,,,
368,1824448,1472,0.01934169224324296,0.0,0.8933333333333333,,,
369,1827652,1476,0.02530427269662732,0.0,0.8363636363636363,0.017225997466881048,0.5,0.859375
370,1831880,1480,0.022703284303671575,0.0,0.9,,,
371,1838956,1484,0.02166418235899986,0.0,0.8833333333333333,,,
372,1842992,1488,0.019888877898098622,0.0,0.7058823529411765,,,
373,1846772,1492,0.024447927313327865,0.25,0.8412698412698413,,,
374,1851384,1496,0.02763888998939238,0.0,0.9318181818181818,,,
375,1854428,1500,0.021166048324716785,0.25,0.8780487804878049,,,
